producer,method,energy_rate_bdt_kwh,fixed_payment_bdt,fixed_share,flag
Dhaka Southern Power Limited,two_point,27.9962,-205651964.0,-0.0674,sign_implausible_needs_panel
Dhaka Northern Power Limited,two_point,27.7484,-399120640.0,-0.1183,sign_implausible_needs_panel
Shahjanullah Power Generation Co. Ltd.,two_point,-24.8843,3131860832.0,3.4937,sign_implausible_needs_panel
Engreen Solar,two_point,,,,insufficient_variation
Kushiara Power Company Ltd.,two_point,7.694,-1492526924.0,-0.2008,sign_implausible_needs_panel
Banco Energy Generation Ltd.,two_point,25.5063,391983107.0,0.1052,
Bangla Track Power Company Ltd.,observed_zero_dispatch,,3333334.0,1.0,
Bangla Track Power Company Ltd. (Unit-2),observed_zero_dispatch,,1475986.0,1.0,
Aggreko Energy Solution Ltd. - Aorahati (100MW),observed_zero_dispatch,,505341.0,1.0,
Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),observed_zero_dispatch,,16783046.0,1.0,
APR Energy 300MW,two_point,,,,insufficient_variation
Barisal Electric Power Company Ltd.,two_point,15.3197,-3538400044.0,-0.1416,sign_implausible_needs_panel
United Mymensingh Power Ltd. (200MW),two_point,25.8468,-661160097.0,-0.0359,sign_implausible_needs_panel
Technaf Solartech Energy Ltd. (20MW),two_point,-23.3896,1447955839.0,2.3873,sign_implausible_needs_panel
Acron Infracture Service Ltd. (Unit-3),two_point,21.148,1014115976.0,0.1446,
Sembcorp NWPC Ltd. - Sirajgonj (282MW),two_point,-20.0022,75522282347.0,3.9904,sign_implausible_needs_panel
Paramount BTrac Energy Ltd. - Sirajgonj,observed_zero_dispatch,,23870000.0,1.0,
Orion Power Rupsha Ltd. - Khulna (105MW),two_point,12.8317,2404549148.0,0.6834,
Desh Energy Chandpur Power Company Ltd.,two_point,20.7979,2236241521.0,0.1388,
Midland East Power Company Ltd.,two_point,20.4524,1871682078.0,0.2327,
Baraka Shikalbaha Power Ltd. (105MW),two_point,-19.395,9189662059.0,1.6772,sign_implausible_needs_panel
Confidence Power Ltd. - Rangpur (113MW),two_point,21.8603,1019010384.0,0.1259,
Confidence Power Ltd. (Unit-1) - Bogra,two_point,-42.8514,14810780068.0,2.4188,sign_implausible_needs_panel
Confidence Power Ltd. (Unit-2) - Bogra,two_point,29.4294,-137964693.0,-0.02,sign_implausible_needs_panel
United Jamalpur 200MW,two_point,22.8644,529352706.0,0.0481,
Sympa Solar Power Limited,two_point,,,,insufficient_variation
Teesta Solar Ltd. (200MW),two_point,,,,insufficient_variation
Intraco Solar Power Ltd. (30MW),two_point,77.0847,-3506667286.0,-2.9922,sign_implausible_needs_panel
RPCL - Gazipur (105MW),two_point,7.0034,4812825066.0,0.7077,
United - Anawara (300MW),two_point,14.3015,6682730539.0,0.6893,
Zodiac Power Ctg. Ltd.,two_point,12.9528,1627941341.0,0.6114,
Karnaphuli Power Ltd.,two_point,5.8377,4630331872.0,0.8105,
Lanka Power Limited - Feni,two_point,-109.1762,48099881114.0,5.3312,sign_implausible_needs_panel
HF Power Company Limited,two_point,4.8516,5103421858.0,0.8264,
Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,two_point,67.9943,-423953384510.0,-3.6639,sign_implausible_needs_panel
Bangladsh India Friendship Power Company (Pvt.) Ltd. 1320MW,two_point,9.2388,17007260658.0,0.2678,
B-R Powergen Ltd. (Mirersarai),two_point,16.2323,1874662784.0,0.4739,
Manikgonj Power Generations Limited (162MW),two_point,20.7958,1973767002.0,0.1873,
HDFC SinPower Ltd. (50MW),two_point,,,,insufficient_variation
Anlima Energy Limited (116MW),two_point,8.0551,3860748724.0,0.7792,
United Payra (150MW),two_point,33.4838,37245704.0,0.0074,
Spectra Solar Park,two_point,,,,insufficient_variation
Tangail Palli Power Generation Ltd. (22MW),two_point,28.732,-290000861.0,-0.1666,sign_implausible_needs_panel
Nutan Bidyut (Bangladesh) Ltd. (220MW),two_point,42.3962,-63982404147.0,-5.6944,sign_implausible_needs_panel
Bhairab Power Limited (54.50MW),two_point,14.4942,1368050241.0,0.5037,
Acron Infrastructure Services Ltd. Unit-2,two_point,79.6852,-9271738609.0,-1.7915,sign_implausible_needs_panel
Orion Power Sonargaon Ltd.,two_point,13.3879,2635766372.0,0.5967,
Chandpur Power Generation Lttd. (115MW),two_point,20.3158,547911475.0,0.0649,
EPV Thakurgoan Limited (115MW),two_point,22.7769,518973653.0,0.0618,
Kanchan Purbachal Power Generation Limited (55MW),two_point,17.5803,720029044.0,0.209,
Desh Energy Hatiya Power Company Limited (5MW),two_point,26.8129,-54371375.0,-0.0866,sign_implausible_needs_panel
Energon Renewables (BD) Limited 100MW - Mongla,two_point,-135.9611,26583272886.0,9.1325,sign_implausible_needs_panel
Summit Gazipur II Power Ltd. - Kodda (300MW),two_point,-2.4633,16567968740.0,1.0796,sign_implausible_needs_panel
SS Power I Limited,two_point,10.9803,22704260619.0,0.2457,
US-DK Green Energy (BD) Ltd. (60 MW),two_point,14.8805,-37146892.0,-0.026,sign_implausible_needs_panel
SFL Unique Meghnaghat Power Plc,two_point,46.415,-27364179413.0,-1.7541,sign_implausible_needs_panel
Summit Meghnaghat II Power Company Limited,two_point,26.1316,-12786863577.0,-0.8425,sign_implausible_needs_panel
Bangladesh China Renewable Energy company Ltd,two_point,,,,insufficient_variation
Dynamic Sun Energy Private Limited,two_point,,,,insufficient_variation
RPCL-NORINCO International Power Company Ltd,two_point,,,,insufficient_variation
B-R Powergen Ltd. (Sreepur)(160MW),two_point,,,,insufficient_variation
EGCB Sonagazi 75MW,two_point,,,,insufficient_variation
Coal Power Generation Company Bangladesh Limited,two_point,,,,insufficient_variation
